	value	group1	group2
1	0.5433	all	Study1
2	0.6614	p	Study1
3	0.8074	imp	Study1
4	0.8408	36	Study1
5	0.8795	18	Study1
6	0.834	9	Study1
7	0.7932	4	Study1
8	0.5089	all	Study24
9	0.5497	p	Study24
10	0.8342	imp	Study24
11	0.836	36	Study24
12	0.8983	18	Study24
13	0.9075	9	Study24
14	0.8781	4	Study24
15	0.7404	all	Study5
16	0.7698	p	Study5
17	0.749	imp	Study5
18	0.7176	36	Study5
19	0.7767	18	Study5
20	0.6665	9	Study5
21	0.5878	4	Study5
