Name	Group	Study
ILT30	LT	Study6
ILT31	LT	Study6
ILT32	LT	Study6
ILT33	LT	Study6
ILT34	LT	Study6
ILT35	LT	Study6
ILT36	LT	Study6
ILT37	LT	Study6
ILT38	LT	Study6
ILT39	LT	Study6
ILT4	LT	Study6
ILT40	LT	Study6
ILT41	LT	Study6
ILT42	LT	Study6
ILT43	LT	Study6
ILT44	LT	Study6
ILT45	LT	Study6
ILT46	LT	Study6
ILT47	LT	Study6
ILT48	LT	Study6
ILT49	LT	Study6
ILT5	LT	Study6
ILT50	LT	Study6
ILT51	LT	Study6
ILT52	LT	Study6
ILT53	LT	Study6
ILT54	LT	Study6
ILT55	LT	Study6
ILT56	LT	Study6
ILT57	LT	Study6
ILT58	LT	Study6
ILT59	LT	Study6
ILT6	LT	Study6
ILT60	LT	Study6
ILT7	LT	Study6
ILT8	LT	Study6
ILT9	LT	Study6
