	Axis1	Axis2	Group	Study
ILH18	-0.036364787	0.223511852	LA	Study6
ILH19	0.197897834	-0.016212946	LA	Study6
ILH2	-0.069563602	0.0987971	LA	Study6
ILH20	-0.061430828	-0.110769775	LA	Study6
ILH21	-0.119404846	-0.067415386	LA	Study6
ILH24	0.069507827	0.039967392	LA	Study6
ILH25	0.01048534	0.054986218	LA	Study6
ILH26	0.090780645	0.190335386	LA	Study6
ILH27	0.0393185	0.042223718	LA	Study6
ILH28	0.062874842	0.348012644	LA	Study6
ILH29	0.128085294	0.184881884	LA	Study6
ILH3	0.03210358	0.212119195	LA	Study6
ILH30	0.159500511	0.176317623	LA	Study6
ILH31	-0.036171842	0.218075843	LA	Study6
ILH33	-0.501709286	-0.06701615	LA	Study6
ILH34	0.042640538	0.215854707	LA	Study6
ILH35	-0.04415287	0.187130679	LA	Study6
ILH36	-0.326546587	0.088379038	LA	Study6
ILH37	-0.003030338	0.266052854	LA	Study6
ILH38	0.020008689	0.016240075	LA	Study6
ILH39	0.121394098	0.123759469	LA	Study6
ILH4	0.140300226	0.054637728	LA	Study6
ILH40	-0.432184404	-0.081545723	LA	Study6
ILH42	-0.454827869	0.11840774	LA	Study6
ILH43	0.15441071	0.247689794	LA	Study6
ILH5	0.062772573	0.056291894	LA	Study6
ILH6	0.120604082	0.1274943	LA	Study6
ILH7	-0.423824324	-0.034276159	LA	Study6
ILH8	0.112247334	0.193072492	LA	Study6
ILH9	0.112173866	-0.010644336	LA	Study6
ILT1	0.119799925	-0.102676987	LT	Study6
ILT10	0.131352939	0.144544271	LT	Study6
ILT11	-0.042896854	-0.150818468	LT	Study6
ILT12	0.187685312	0.049052948	LT	Study6
ILT13	-0.035662295	0.012901695	LT	Study6
ILT14	-0.023207246	0.029871485	LT	Study6
ILT15	0.170608225	-0.010414958	LT	Study6
ILT16	0.09442348	-0.122818921	LT	Study6
ILT17	0.116645676	-0.212415875	LT	Study6
ILT18	0.002614126	-0.053788324	LT	Study6
ILT19	0.17126686	-0.126518826	LT	Study6
ILT2	-0.05602403	0.140785146	LT	Study6
ILT20	0.138355154	-0.027285728	LT	Study6
ILT21	0.177383995	0.159539943	LT	Study6
ILT22	-0.227824099	0.17222893	LT	Study6
ILT23	0.15791004	0.021909415	LT	Study6
ILT24	0.130290979	-0.15810453	LT	Study6
ILT25	0.12213695	-0.051456359	LT	Study6
ILT26	-0.025900854	0.02807249	LT	Study6
ILT27	-0.12153639	0.059889838	LT	Study6
ILT28	0.086159664	-0.138759441	LT	Study6
ILT29	0.0597108	0.196188731	LT	Study6
ILT30	-0.151540261	0.228014463	LT	Study6
ILT31	0.040983965	0.040420811	LT	Study6
ILT32	0.100960985	0.230408751	LT	Study6
ILT33	0.150838648	0.241329702	LT	Study6
ILT34	0.136822232	-0.156459335	LT	Study6
ILT35	0.204376519	0.004458071	LT	Study6
ILT36	-0.071006888	0.035318718	LT	Study6
ILT37	-0.215152517	0.220859001	LT	Study6
ILT38	0.058099599	-0.143839444	LT	Study6
ILT39	0.239844276	0.023682937	LT	Study6
ILT4	-0.137463246	-0.249818276	LT	Study6
ILT40	0.178751179	0.145684898	LT	Study6
ILT41	0.192644619	-0.120830402	LT	Study6
ILT42	0.18993887	0.071643187	LT	Study6
ILT43	0.061937928	0.003075899	LT	Study6
ILT44	0.123159035	0.161734526	LT	Study6
ILT45	-0.230976007	-0.130831882	LT	Study6
ILT46	-0.005144119	-0.208548413	LT	Study6
ILT47	0.039892069	-0.136580789	LT	Study6
ILT48	-0.029322869	-0.154158157	LT	Study6
ILT49	0.04932035	-0.020921736	LT	Study6
ILT5	0.028174879	-0.116592922	LT	Study6
ILT50	0.092428543	-0.059114886	LT	Study6
ILT51	0.070525743	0.022257135	LT	Study6
ILT52	-0.525127097	-0.097281526	LT	Study6
ILT53	0.110223914	0.053023028	LT	Study6
ILT54	0.18663027	-0.127007683	LT	Study6
ILT55	0.075031167	-0.124733305	LT	Study6
ILT56	0.126682918	0.047744857	LT	Study6
ILT57	0.194907604	0.040579353	LT	Study6
ILT58	0.070494072	-0.105736847	LT	Study6
ILT59	-0.289619087	-0.004061324	LT	Study6
ILT6	-0.027836993	-0.21997218	LT	Study6
ILT60	-0.325139511	0.05750706	LT	Study6
ILT7	0.111246239	0.25444172	LT	Study6
ILT8	0.170872412	0.081175149	LT	Study6
ILT9	0.203259767	0.069115324	LT	Study6
