	Axis1	Axis2	Group	Study
AHT8	0.082332941	-0.231852519	HT	Study1
AHT80	0.064230508	-0.131492789	HT	Study1
AHT81	0.064625192	-0.10080622	HT	Study1
AHT82	0.034640102	-0.201835938	HT	Study1
AHT83	0.008192563	-0.032494096	HT	Study1
AHT84	0.050384095	-0.337721875	HT	Study1
AHT85	0.084125414	-0.140332629	HT	Study1
AHT86	-0.118088337	0.043995278	HT	Study1
AHT87	0.001778157	-0.24355303	HT	Study1
AHT88	0.046314671	-0.114621322	HT	Study1
AHT89	0.112368701	-0.197173067	HT	Study1
AHT9	-0.089329438	-0.048488218	HT	Study1
AHT90	0.086385805	-0.314859704	HT	Study1
AHT91	0.135346343	-0.281541655	HT	Study1
ALH1	-0.012500539	0.081147222	LA	Study1
ALH10	-0.046803063	0.140282238	LA	Study1
ALH11	-0.040957371	0.038219591	LA	Study1
ALH12	-0.063193441	-0.022956361	LA	Study1
ALH13	-0.117770989	0.0775416	LA	Study1
ALH14	-0.038653233	-0.061745742	LA	Study1
ALH15	-0.015898808	-0.205575029	LA	Study1
ALH16	0.04913383	-0.067068941	LA	Study1
ALH17	-0.133805473	0.061292692	LA	Study1
ALH18	-0.137122991	0.048890373	LA	Study1
ALH19	0.018580084	-0.099369918	LA	Study1
ALH2	-0.087677478	0.141153858	LA	Study1
ALH20	-0.022217155	0.0758932	LA	Study1
ALH21	0.026354333	0.104830755	LA	Study1
ALH22	-0.024844803	0.174090256	LA	Study1
ALH23	-0.048105567	0.0405545	LA	Study1
ALH24	0.015402389	-0.03128274	LA	Study1
ALH25	-0.063171625	0.040097558	LA	Study1
ALH26	-0.166182715	-0.081826083	LA	Study1
ALH27	-0.137022866	0.080668616	LA	Study1
ALH28	0.030523296	0.162738297	LA	Study1
ALH29	-0.025527135	0.099174914	LA	Study1
ALH3	0.079474467	-0.035200181	LA	Study1
ALH30	-0.038897715	-0.045128118	LA	Study1
ALH31	-0.047807905	-0.082585385	LA	Study1
ALH32	0.031816164	0.130354406	LA	Study1
ALH33	-0.00905071	-0.124211481	LA	Study1
ALH34	-0.099001686	-0.063973791	LA	Study1
ALH35	0.013074466	0.046926005	LA	Study1
ALH36	-0.041965259	-0.136625367	LA	Study1
ALH37	-0.102827964	-0.155608353	LA	Study1
ALH38	-0.1295198	0.159829409	LA	Study1
ALH39	0.029530592	-0.111847694	LA	Study1
ALH4	-0.063612508	-0.108304675	LA	Study1
ALH40	-0.003911923	0.007002198	LA	Study1
ALH41	-0.073910216	0.094235552	LA	Study1
ALH42	0.031553497	0.023128173	LA	Study1
ALH43	-0.106768683	0.154300486	LA	Study1
ALH44	0.063097199	0.204971822	LA	Study1
ALH45	-0.018587798	0.10518277	LA	Study1
ALH46	0.028122066	0.041545818	LA	Study1
ALH47	0.067909933	0.027679111	LA	Study1
ALH48	-0.00932492	0.00093038	LA	Study1
ALH49	-0.057934917	-0.05411926	LA	Study1
ALH5	0.019202614	0.006190635	LA	Study1
ALH50	0.033450004	-0.10319847	LA	Study1
ALH51	-0.060917694	0.052616327	LA	Study1
ALH52	-0.123694823	-0.247944039	LA	Study1
ALH53	-0.031955587	0.036513322	LA	Study1
ALH54	-0.127075317	0.055315188	LA	Study1
ALH55	-0.094815996	0.071382237	LA	Study1
ALH56	0.044738199	0.128157452	LA	Study1
ALH57	0.031770922	0.019078978	LA	Study1
ALH58	-0.021458666	-0.029385803	LA	Study1
ALH59	0.08656187	-0.122768873	LA	Study1
ALH6	0.067697159	-0.081862377	LA	Study1
ALH60	-0.240986264	-0.014967588	LA	Study1
ALH61	-0.016814615	0.303688079	LA	Study1
ALH62	-0.172500561	-0.040316	LA	Study1
ALH63	0.041587096	0.116788179	LA	Study1
ALH64	0.018157656	0.201442353	LA	Study1
ALH65	-0.240197511	0.227846139	LA	Study1
ALH66	0.020524664	-0.268977496	LA	Study1
ALH67	-0.036860099	0.083707487	LA	Study1
ALH68	0.071742125	-0.032196735	LA	Study1
ALH69	0.029334855	-0.016910046	LA	Study1
ALH7	0.002849948	-0.209252849	LA	Study1
ALH70	-0.16298354	0.033997294	LA	Study1
ALH71	-0.065934238	0.008839248	LA	Study1
ALH72	-0.253613355	-0.030021553	LA	Study1
ALH73	0.098905312	0.0356367	LA	Study1
ALH74	-0.004040006	0.180735624	LA	Study1
